Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,DEV-13736,SparkFun,DEV-13736,https://octopart.com/dev-13736-sparkfun-66786793,,,teensy,1,1568-1231-ND,474-DEV-13736,Bulk,,21.88,22.5,3468,0,1,1,https://octopart.com/click/track?ai=8237&sig=0cd337c&sid=459&ppid=66786793&vpid=238615722&ct=offers,https://octopart.com/click/track?c=1&ai=8237&sig=036cc5a&sid=2401&ppid=66786793&vpid=460594265&ct=offers,Arrow.cn,DEV13736#SPARKFUN,,21.75,21.75,21.75,243,1,https://octopart.com/click/track?ai=8237&sig=0c83821&sid=28928&ppid=66786793&vpid=617625825&ct=offers,
2,22-28-4143,Molex,22-28-4143,https://octopart.com/22-28-4143-molex-278217,,,teensy header,2,WM50016-14-ND,538-22-28-4143,Bulk,Bulk,0.99,0.76,528,87,1,1,https://octopart.com/click/track?ai=8237&sig=0a93492&sid=459&ppid=278217&vpid=78026483&ct=offers,https://octopart.com/click/track?ai=8237&sig=0809279&sid=2401&ppid=278217&vpid=37674059&ct=offers,Heilind Electronics,MOL22-28-4143,,0.43008,0.86016,0.86016,40,1,https://octopart.com/click/track?ai=8237&sig=0ffd42f&sid=8539&ppid=278217&vpid=20581064&ct=offers,
7,RK09L1140A2U,ALPS,RK09L1140A2U,https://octopart.com/rk09l1140a2u-alps-7850070,,,6mm pots,7,,688-RK09L1140A2U,,Tray,,1.49,,959,,1,,https://octopart.com/click/track?ai=8237&sig=0f03634&sid=2401&ppid=7850070&vpid=37992684&ct=offers,LCSC,C470448,Tray,1.015,7.1049999999999995,7.1049999999999995,36,1,https://octopart.com/click/track?ai=8237&sig=06be386&sid=27971&ppid=7850070&vpid=625387208&ct=offers,
1,TSM-102-01-T-DV,Samtec,TSM-102-01-T-DV,https://octopart.com/tsm-102-01-t-dv-samtec-6823736,,,teensy header,1,SAM10784-ND,200-TSM10201TDV,Bulk,Bulk,0.39,0.39,1554,2391,1,1,https://octopart.com/click/track?ai=8237&sig=0a25a83&sid=459&ppid=6823736&vpid=417407955&ct=offers,https://octopart.com/click/track?ai=8237&sig=05d727c&sid=2401&ppid=6823736&vpid=493282502&ct=offers,Newark,77P4639,,0.118,0.118,0.118,2673,1,https://octopart.com/click/track?ai=8237&sig=03440e8&sid=2402&ppid=6823736&vpid=47139229&ct=offers,
2,22-03-2031,Molex,22-03-2031,https://octopart.com/22-03-2031-molex-15103,,,teensy header,2,900-0022032031-ND,538-22-03-2031,Bulk,Bulk,0.28,0.28,0,13233,1,1,https://octopart.com/click/track?c=1&ai=8237&sig=093f6bf&sid=459&ppid=15103&vpid=587828796&ct=offers,https://octopart.com/click/track?ai=8237&sig=05e84a0&sid=2401&ppid=15103&vpid=37607239&ct=offers,Newark,26H0648,,0.086,0.172,0.172,9190,1,https://octopart.com/click/track?ai=8237&sig=07890cb&sid=2402&ppid=15103&vpid=2936454&ct=offers,
1,M80-2260000B,Harwin,M80-2260000B,https://octopart.com/m80-2260000b-harwin-81780540,,,bag of 12 2.5mm screws (need 8 ),1,M80-2260000B-ND,855-M80-2260000B,Bulk,,,4.1,0,157,196,1,https://octopart.com/click/track?c=1&ai=8237&sig=0720959&sid=459&ppid=81780540&vpid=519727817&ct=offers,https://octopart.com/click/track?ai=8237&sig=06e02d6&sid=2401&ppid=81780540&vpid=420857730&ct=offers,Mouser,855-M80-2260000B,,4.1,4.1,4.1,157,1,https://octopart.com/click/track?ai=8237&sig=06e02d6&sid=2401&ppid=81780540&vpid=420857730&ct=offers,
4,R25-1001002,Harwin,R25-1001002,https://octopart.com/r25-1001002-harwin-793354,,,10mm spacer,4,952-2174-ND,855-R25-1001002,Bulk,,0.48,0.4,3373,2227,1,1,https://octopart.com/click/track?ai=8237&sig=076609f&sid=459&ppid=793354&vpid=58220356&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f1cbc1&sid=2401&ppid=793354&vpid=46536103&ct=offers,Newark,99W9384,,0.305,1.22,1.22,5478,1,https://octopart.com/click/track?ai=8237&sig=06fc5f0&sid=2402&ppid=793354&vpid=90930922&ct=offers,
4,R25-3000502,Harwin,R25-3000502,https://octopart.com/r25-3000502-harwin-793850,,,5mm spacer,4,952-3456-ND,855-R25-3000502,Bulk,,0.83,0.71,1584,3121,1,1,https://octopart.com/click/track?ai=8237&sig=00d5341&sid=459&ppid=793850&vpid=417952346&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a09265&sid=2401&ppid=793850&vpid=37615038&ct=offers,Farnell,3225867,,0.5963058666373657,2.385223466549463,2.385223466549463,721,1,https://octopart.com/click/track?ai=8237&sig=0fb8c71&sid=819&ppid=793850&vpid=579539883&ct=offers,
